feature,importance
keyPressCount,0.20274241168815654
avgKeyHoldDuration,0.13456536512674885
backspaceCount,0.10510203473117968
repeatedKeyCount,0.08537204281113922
interactionRate,0.07014307889774521
pageTime,0.06786804561850199
keyboardActivityRate,0.054634941140559966
typingRate,0.04248309052316239
mouseActivityRate,0.03792527784122871
avgMouseSpeed,0.037643013529308746
scrollEventCount,0.025991557722720805
clickCount,0.02245463020871966
totalScrollDistance,0.02144690901065321
clickRate,0.01852637598705973
mouseJitter,0.01753870847977022
scrollRate,0.01553867158554648
mouseDistance,0.015261210470764341
mouseToKeyboardRatio,0.01456274599406022
scrollDirectionChanges,0.009708898678930118
screenArea,0.0003275153652921521
hasTouch,0.0001634745887518215
fieldInteractionCount,0.0
