feature,mean,median,std,min,max,missing,zero_count,unique
avgMouseSpeed,5.728873221583229,1.7062709575298545,9.716796566188979,0.0,49.86028564891058,0,13,1781
clickCount,3.389,3.0,3.13042789238064,1.0,19.0,0,0,19
mouseDistance,6236.057145714531,1475.440993738368,22297.997768992464,0.0,209798.99545752237,0,1,2000
mouseJitter,2.484,0.0,5.828355588365573,0.0,29.0,0,1459,30
keyPressCount,14.1145,13.0,3.4032603251030045,12.0,31.0,0,0,20
avgKeyHoldDuration,73.04849569911886,50.691635971475634,68.111465920294,-9.988908035977762,298.57176543212427,0,0,2000
typingRate,498.0457184076316,309.6426560851273,509.20676072826456,30.31788965603605,2499.7065785158,0,0,1787
backspaceCount,1.769,0.0,3.345928364192688,0.0,19.0,0,1119,20
repeatedKeyCount,0.3455,0.0,0.6635886715145771,0.0,4.0,0,1499,5
scrollEventCount,1.6865,1.0,2.762613575381733,0.0,14.0,0,915,15
totalScrollDistance,287.83554732687037,121.23169589576722,550.1698271515378,0.0,4161.805084184625,0,915,1076
scrollDirectionChanges,0.3195,0.0,1.2075383324815019,0.0,7.0,0,1839,8
pageTime,10935.3277862872,5078.949309160309,12827.484095097476,102.2404329448591,59848.65035406555,0,0,1798
fieldInteractionCount,2.0,2.0,0.0,2.0,2.0,0,0,1
hasTouch,0.2575,0.0,0.43736643069324443,0.0,1.0,0,1485,2
screenArea,1228501.308,1440000.0,645907.3406551046,304500.0,2073600.0,0,0,4
interactionRate,1.1464265613873377,0.393782249120471,2.1525755856553026,0.033417629105551565,19.561732500474168,0,0,1798
keyboardActivityRate,8.025479066278683,2.4119955648007387,14.550094208291444,0.2005057746333094,117.370395002845,0,0,1843
mouseActivityRate,1368.0139939467763,318.0563213112408,3038.2785205433624,0.0,23899.973756410247,0,1,2000
scrollRate,55.99487982768582,9.615779076706449,102.61695605573485,0.0,1283.876101382939,0,915,1086
clickRate,1.5720511671095403,0.592585575423219,3.0539327415635045,0.016708814552775782,35.437425063638145,0,0,1809
mouseToKeyboardRatio,371.43559480575937,116.5278629154933,1111.2589198077626,0.0,13475.899384334083,0,1,2000
